device,country,topic,level1,level2,raw_messages,raw_users,raw_conversations,date
desktop,840,Working Capital Loans,Financial Services,Debt Management Services,78,46,49,2025-12-01
desktop,840,Lettings Management Software,Technology,PropTech and Construction,34,23,25,2025-12-01
desktop,840,Music Business Training,Technology,Financial Technology,4,4,4,2025-12-01
desktop,840,Personal Technology Reviews,Technology,IT Services and Support,3,2,2,2025-12-01
desktop,840,Marketing Assistance,Technology,Social Platforms,23,18,18,2025-12-01
desktop,840,Wholesale Vehicle Marketplace,Financial Services,Investment Banking and Capital Markets,32,10,21,2025-12-01
desktop,840,Group Activity Planning,Technology,IoT and Smart Infrastructure,5,3,3,2025-12-01
desktop,840,Speech & Hearing Support,Technology,Digital Media and Content,12,10,10,2025-12-01
desktop,840,FinTech Partnership Consulting,Financial Services,General Financial Services & Support,215,134,155,2025-12-01
desktop,840,GPU-as-a-Service,Aerospace & Defense,General Aerospace & Infrastructure,48,32,33,2025-12-01
desktop,840,Website Builder for Businesses,Aerospace & Defense,Aviation Maintenance & Services,23,21,22,2025-12-01
desktop,840,Meeting & Event Venue Booking,Financial Services,Payment Processing Systems,5,3,4,2025-12-01
desktop,840,Outbound Contact Center Services,Technology,Marketing and AdTech,199,134,139,2025-12-01
desktop,840,Social Media Influencing,Technology,Search and Information Discovery,107,73,76,2025-12-01
desktop,840,Social Media Engagement Packages,Technology,Retail and E-commerce Tech,93,74,75,2025-12-01
desktop,840,Decision Optimization Software,Financial Services,Insurance Solutions,4,4,4,2025-12-01
desktop,840,Sales & Marketing Analytics Consulting,Technology,Cybersecurity and Identity,104,83,88,2025-12-01
desktop,840,AI Adoption Consulting,Aerospace & Defense,Aviation Maintenance & Services,30,29,29,2025-12-01
desktop,840,Slope Protection & Greening,Aerospace & Defense,Defense Systems,1,1,1,2025-12-01
desktop,840,Filters Wholesale,Financial Services,Financial Technology Innovation,1,1,1,2025-12-01
desktop,840,Fraud Prevention Platform,Technology,Data Analytics,115,73,76,2025-12-01
desktop,840,QRIS Payments,Technology,Marketing and AdTech,19,18,18,2025-12-01
desktop,840,Brand Store Design,Technology,Retail and E-commerce Tech,26,25,25,2025-12-01
desktop,840,Doorstep Loans,Technology,Event Management Technology,58,55,55,2025-12-01
desktop,840,Themed Event Animation,Technology,Sports and Fitness Technology,29,14,14,2025-12-01
desktop,840,Post-Career Transition Services,Technology,Educational Technology,42,34,35,2025-12-01
desktop,840,Product Catalog Management,Financial Services,Payment Processing Systems,2,2,2,2025-12-01
desktop,840,Digital Brochure Publishing,Financial Services,Retail and Commercial Banking,14,12,12,2025-12-01
desktop,840,React Developer Staffing,Technology,Software Solutions,96,62,68,2025-12-01
desktop,840,Fruit Picking Farm,Technology,AgriTech and FoodTech,14,12,12,2025-12-01
desktop,840,Access to Care Initiatives,Technology,Event Management Technology,38,24,28,2025-12-01
desktop,840,Gradient Yarn,Technology,Design and 3D Technology,15,14,14,2025-12-01
desktop,840,WES Verification Services,Financial Services,Accounting and Auditing,20,16,16,2025-12-01
desktop,840,E-commerce SEO Consulting,Technology,Event Management Technology,318,190,212,2025-12-01
desktop,840,Workstation Components,Technology,Gaming and Immersive Tech,71,52,53,2025-12-01
desktop,840,Business Identity Design,Technology,Event Management Technology,65,48,48,2025-12-01
desktop,840,Facebook Ads Management,Technology,Retail and E-commerce Tech,279,177,192,2025-12-01
desktop,840,Management Quota Admission Consulting,Financial Services,Lending and Credit Operations,76,57,57,2025-12-01
desktop,840,E-book Publishing Training,Technology,Marketing and AdTech,60,41,42,2025-12-01
desktop,840,Test Management Consulting,Financial Services,Lending and Credit Operations,21,17,17,2025-12-01
desktop,840,Emotional Intelligence Tools,Technology,PropTech and Construction,29,25,26,2025-12-01
desktop,840,Marketing Strategy & Execution,Technology,Event Management Technology,181,119,128,2025-12-01
desktop,840,Security Automation Consulting,Technology,Aerospace and Defense,48,34,38,2025-12-01
desktop,840,Automotive Tax Consulting,Technology,Mobility and Logistics,8,8,8,2025-12-01
desktop,840,AI in Healthcare Investments,Technology,Scientific Research Tech,51,34,37,2025-12-01
desktop,840,Robotics System Development,Technology,PropTech and Construction,39,24,28,2025-12-01
desktop,840,Duty & Tax Calculation,Financial Services,Payment Processing Systems,111,81,89,2025-12-01
desktop,840,Hair Treatments & Serums,Technology,Digital Media and Content,28,16,18,2025-12-01
desktop,840,Packaging Industry Association Services,Technology,Geospatial Technology,1,1,1,2025-12-01
desktop,840,Strategic Energy Planning,Technology,Search and Information Discovery,17,10,12,2025-12-01
desktop,840,Structural Contracting,Aerospace & Defense,General Aerospace & Infrastructure,9,5,5,2025-12-01
desktop,840,THC Vapes,Technology,Marketing and AdTech,5,5,5,2025-12-01
desktop,840,Sales & Marketing Integration,Technology,Sports and Fitness Technology,66,52,53,2025-12-01
desktop,840,E-commerce Promotions,Technology,Travel and Hospitality Technology,100,88,90,2025-12-01
desktop,840,Web Content Writing Training,Financial Services,General Financial Services & Support,15,15,15,2025-12-01
desktop,840,Tank & Container Manufacturing,Aerospace & Defense,General Aerospace & Infrastructure,3,2,2,2025-12-01
desktop,840,E-Invoice Solutions,Technology,Event Management Technology,100,75,79,2025-12-01
desktop,840,Labor Union Activities,Financial Services,Regulatory Compliance Bodies,53,23,23,2025-12-01
desktop,840,Invoice Financing Platform,Financial Services,Debt Management Services,237,170,179,2025-12-01
desktop,840,Project Management Assessment,Financial Services,General Financial Services & Support,43,36,37,2025-12-01
desktop,840,Academic Question & Answer Database,Financial Services,Investment and Wealth Advisory,41,40,40,2025-12-01
desktop,840,Sustainable Energy Management,Technology,PropTech and Construction,30,16,20,2025-12-01
desktop,840,Vehicle Emissions Regulations,Financial Services,Regulatory Compliance Bodies,7,6,6,2025-12-01
desktop,840,Real Estate Advice,Technology,PropTech and Construction,56,39,40,2025-12-01
desktop,840,Sales & Marketing Collateral,Technology,Blockchain and Cryptocurrency,3,3,3,2025-12-01
desktop,840,Business Financial Advisory,Technology,General Technology and Services,5,4,4,2025-12-01
desktop,840,Supply Chain News,Technology,Mobility and Logistics,28,22,22,2025-12-01
desktop,840,MSME Registration,Financial Services,General Financial Services & Support,32,21,22,2025-12-01
desktop,840,Sales & Marketing Templates,Technology,Social Platforms,109,81,84,2025-12-01
desktop,840,Instagram Growth Services,Technology,Retail and E-commerce Tech,112,87,91,2025-12-01
desktop,840,Cloud Browser,Technology,Telecommunications and Networking,7,7,7,2025-12-01
desktop,840,Self-Improvement Podcasts,Financial Services,Consumer Financial Literacy,3,3,3,2025-12-01
desktop,840,Electrical Infrastructure Maintenance,Aerospace & Defense,Aerospace Parts & Systems,4,4,4,2025-12-01
desktop,840,Gilding Products,Technology,Retail and E-commerce Tech,10,8,8,2025-12-01
desktop,840,Branded Video Production,Technology,Design and 3D Technology,171,113,118,2025-12-01
desktop,840,Comprehensive Clinical Assessments,Technology,Educational Technology,18,14,15,2025-12-01
desktop,840,Blockchain Trading Platform,Financial Services,Financial Technology Innovation,64,52,52,2025-12-01
desktop,840,Financial Planning & Analysis (FP&A) Consulting,Financial Services,Financial Data Analytics,161,86,95,2025-12-01
desktop,840,Mortgage Note Purchasing,Financial Services,Lending and Credit Operations,26,18,19,2025-12-01
desktop,840,Phishing Kits,Technology,Blockchain and Cryptocurrency,15,11,12,2025-12-01
desktop,840,Post-Treatment Skincare,Financial Services,Lending and Credit Operations,16,9,10,2025-12-01
desktop,840,CMAT Exam Preparation,Technology,Travel and Hospitality Technology,7,3,3,2025-12-01
desktop,840,Website Builder for Artists,Financial Services,Debt Management Services,19,15,16,2025-12-01
desktop,840,Network Infrastructure Implementation,Financial Services,General Financial Services & Support,2,2,2,2025-12-01
desktop,840,Mochi Wholesale,Technology,Marketing and AdTech,6,5,5,2025-12-01
desktop,840,Data Training,Technology,Geospatial Technology,16,15,15,2025-12-01
desktop,840,Scholarly Literature Search,Financial Services,Consumer Financial Literacy,10,9,9,2025-12-01
desktop,840,AI Application Deployment,Technology,Educational Technology,12,10,10,2025-12-01
desktop,840,AI Integration Consulting,Aerospace & Defense,Aerospace Engineering,30,28,28,2025-12-01
desktop,840,Exhibition Management Software,Technology,General Technology and Services,1,1,1,2025-12-01
desktop,840,AI for Scientific Discovery,Technology,Marketing and AdTech,15,13,13,2025-12-01
desktop,840,AI-powered Writing Tools,Technology,IoT and Smart Infrastructure,79,65,67,2025-12-01
desktop,840,Full Cycle Recruitment,Technology,Artificial Intelligence,9,8,8,2025-12-01
desktop,840,Blood Transfusion Equipment,Financial Services,Lending and Credit Operations,4,4,4,2025-12-01
desktop,840,Omega-3 Fatty Acid Production,Financial Services,Investment Banking and Capital Markets,3,3,3,2025-12-01
desktop,840,Online Letter Sending,Technology,Event Management Technology,139,129,131,2025-12-01
desktop,840,Network Implementation Services,Technology,IT Services and Support,43,27,29,2025-12-01
desktop,840,PC Upgrade Guides,Technology,PropTech and Construction,3,2,2,2025-12-01
desktop,840,E-commerce Marketing Automation,Financial Services,Consumer Financial Literacy,128,85,96,2025-12-01
desktop,840,TV Backlights,Technology,Digital Media and Content,10,9,9,2025-12-01
desktop,840,Consciousness Therapy,Aerospace & Defense,Space Technology,10,7,7,2025-12-01
desktop,840,Merger Arbitrage Analysis,Financial Services,Lending and Credit Operations,59,35,39,2025-12-01
desktop,840,Tipping Platform,Technology,Blockchain and Cryptocurrency,6,4,4,2025-12-01
desktop,840,Voice Recording Solutions,Technology,Scientific Research Tech,24,16,17,2025-12-01
desktop,840,Cybersecurity Research & Education,Technology,Retail and E-commerce Tech,12,8,9,2025-12-01
desktop,840,Custom Game Pieces,Technology,PropTech and Construction,11,9,9,2025-12-01
desktop,840,Microgeneration Connection,Financial Services,Lending and Credit Operations,1,1,1,2025-12-01
desktop,840,Cloud-based Management Systems,Technology,IoT and Smart Infrastructure,29,22,22,2025-12-01
desktop,840,Online Document Creator,Financial Services,Retail and Commercial Banking,53,48,49,2025-12-01
desktop,840,Data Analytics Staffing,Technology,Event Management Technology,290,183,199,2025-12-01
desktop,840,International Mobility Legal Services,Aerospace & Defense,Aviation Maintenance & Services,1,1,1,2025-12-01
desktop,840,Business Workflow Consulting,Technology,Digital Media and Content,19,14,16,2025-12-01
desktop,840,Porsche Carrera Cup,Financial Services,Regulatory Compliance Bodies,2,2,2,2025-12-01
desktop,840,Hand Controls,Aerospace & Defense,Aerospace Parts & Systems,17,11,11,2025-12-01
desktop,840,Pickleball Jewelry,Technology,Event Management Technology,13,10,10,2025-12-01
desktop,840,Team Alignment Consulting,Technology,Marketing and AdTech,272,198,212,2025-12-01
desktop,840,Technology & Innovation Training,Technology,Retail and E-commerce Tech,18,16,16,2025-12-01
desktop,840,Operational Intelligence Solutions,Technology,Travel and Hospitality Technology,51,40,40,2025-12-01
desktop,840,Client Onboarding Software,Financial Services,Retail and Commercial Banking,19,15,15,2025-12-01
desktop,840,High-Top Safety Shoes,Financial Services,Retail and Commercial Banking,14,12,12,2025-12-01
desktop,840,Membership-Based Primary Care,Technology,IT Services and Support,4,3,4,2025-12-01
desktop,840,IT Certification Exam Preparation,Technology,Software Development,62,43,44,2025-12-01
desktop,840,Mobile Advertising Platforms,Technology,Internet and Web Services,40,32,33,2025-12-01
desktop,840,Promotional Program Management,Technology,Software Development,1,1,1,2025-12-01
desktop,840,Blazers & Blouses,Technology,Retail and E-commerce Tech,15,14,14,2025-12-01
desktop,840,Façade Design,Technology,PropTech and Construction,38,34,34,2025-12-01
desktop,840,Analytics & Optimization,Technology,Blockchain and Cryptocurrency,137,95,103,2025-12-01
desktop,840,Positive Psychology Therapy,Technology,Search and Information Discovery,2,2,2,2025-12-01
desktop,840,Macrobiotic Diet Consulting,Technology,AgriTech and FoodTech,8,8,8,2025-12-01
desktop,840,Judicial Information,Financial Services,Lending and Credit Operations,8,7,7,2025-12-01
desktop,840,Webcam Feeds,Technology,IoT and Smart Infrastructure,14,8,8,2025-12-01
desktop,840,eSign Services,Technology,Internet and Web Services,35,33,33,2025-12-01
desktop,840,Sisterhood,Technology,Social Platforms,28,24,27,2025-12-01
desktop,840,Music for Apps,Technology,Gaming and Immersive Tech,34,25,25,2025-12-01
desktop,840,Respiratory Polygraphy,Aerospace & Defense,Aerospace Parts & Systems,8,8,8,2025-12-01
desktop,840,Water Pump Accessories,Technology,Hardware and Electronics,1,1,1,2025-12-01
desktop,840,Wholesale Indoor Plants,Technology,AgriTech and FoodTech,7,5,6,2025-12-01
desktop,840,Freight Forwarder Directory,Aerospace & Defense,Unmanned Systems,9,7,7,2025-12-01
desktop,840,Data Analytics for Campaigns,Technology,Cloud Computing,58,50,52,2025-12-01
desktop,840,E-billing Solutions,Financial Services,Regulatory Compliance Bodies,17,16,17,2025-12-01
desktop,840,Maze,Technology,Event Management Technology,31,23,23,2025-12-01
desktop,840,Data Cleansing & Normalization,Financial Services,Retail and Commercial Banking,3,3,3,2025-12-01
desktop,840,All-Risk Insurance,Technology,Financial Technology,1,1,1,2025-12-01
desktop,840,Data Center Real Estate Services,Technology,Retail and E-commerce Tech,25,16,17,2025-12-01
desktop,840,Card Sorting,Technology,Consumer Electronics and Personal Computing,3,1,2,2025-12-01
desktop,840,EPS Sandwich Panels,Technology,PropTech and Construction,4,3,4,2025-12-01
desktop,840,Business Application Development Platform,Technology,Healthcare Technology,34,30,30,2025-12-01
desktop,840,Player Performance Tracking Software,Technology,Gaming and Immersive Tech,12,11,11,2025-12-01
desktop,840,Intercompany Accounting Software,Technology,Consumer Electronics and Personal Computing,2,2,2,2025-12-01
desktop,840,API for Identity Verification,Financial Services,General Financial Services & Support,13,11,11,2025-12-01
desktop,840,Omnichannel Strategy Consulting,Financial Services,General Financial Services & Support,110,75,79,2025-12-01
desktop,840,Government Form Assistance,Technology,IT Services and Support,11,10,10,2025-12-01
desktop,840,Flatwork Construction,Technology,Mobility and Logistics,4,3,3,2025-12-01
desktop,840,UI Development,Technology,Retail and E-commerce Tech,27,22,22,2025-12-01
desktop,840,Traffic Analysis Software,Technology,IoT and Smart Infrastructure,14,9,9,2025-12-01
desktop,840,Web Trends Analysis,Technology,Event Management Technology,98,69,78,2025-12-01
desktop,840,Music Preparation Services,Technology,Design and 3D Technology,29,21,22,2025-12-01
desktop,840,Integrative Behavioral Couple Therapy (IBCT),Financial Services,Investment and Wealth Advisory,4,3,3,2025-12-01
desktop,840,Magnetic Clamping Systems,Technology,PropTech and Construction,1,1,1,2025-12-01
desktop,840,Fractional Talent Acquisition,Technology,Marketing and AdTech,77,50,55,2025-12-01
desktop,840,Lean Supply Chain Consulting,Financial Services,Investment Banking and Capital Markets,91,58,63,2025-12-01
desktop,840,AI-powered Report Generation,Technology,Industrial Manufacturing and Robotics,24,22,22,2025-12-01
desktop,840,Business Tax Filing,Financial Services,Regulatory Compliance Bodies,22,17,17,2025-12-01
desktop,840,Iris,Technology,Search and Information Discovery,56,50,51,2025-12-01
desktop,840,Weapon System Components,Technology,Aerospace and Defense,29,19,19,2025-12-01
desktop,840,Business Formation & Liquidation,Financial Services,Retail and Commercial Banking,22,18,19,2025-12-01
desktop,840,Blog Aggregator,Technology,Scientific Research Tech,11,6,6,2025-12-01
desktop,840,Bondage Gear,Technology,Cybersecurity and Identity,2,2,2,2025-12-01
desktop,840,Debt Marketplace,Financial Services,Currency and Commodity Trading,18,16,16,2025-12-01
desktop,840,Security Management Courses,Technology,Aerospace and Defense,3,3,3,2025-12-01
desktop,840,Graphic Design Software Add-ons,Technology,Retail and E-commerce Tech,13,13,13,2025-12-01
desktop,840,Digital Experience Monitoring Software,Aerospace & Defense,Aerospace Parts & Systems,4,4,4,2025-12-01
desktop,840,Investment Attraction Consulting,Technology,Industrial Manufacturing and Robotics,2,2,2,2025-12-01
desktop,840,Network & Server Maintenance,Financial Services,General Financial Services & Support,6,5,5,2025-12-01
desktop,840,Easy Chairs,Technology,Social Platforms,3,3,3,2025-12-01
desktop,840,Premium Homes,Financial Services,Regulatory Compliance Bodies,2,2,2,2025-12-01
desktop,840,Recommendation Letter Templates,Financial Services,Lending and Credit Operations,254,196,202,2025-12-01
desktop,840,Family Trees,Financial Services,General Financial Services & Support,5,5,5,2025-12-01
desktop,840,Synthesizer Samples,Technology,Marketing and AdTech,13,9,9,2025-12-01
desktop,840,Fabric Grow Bags,Technology,Gaming and Immersive Tech,2,2,2,2025-12-01
desktop,840,Agricultural Commodity Exchange,Technology,Gaming and Immersive Tech,2,2,2,2025-12-01
desktop,840,C-Suite Coaching,Financial Services,Lending and Credit Operations,438,263,292,2025-12-01
desktop,840,Insurance Repair & Restoration Services,Technology,PropTech and Construction,11,10,10,2025-12-01
desktop,840,WordPress Themes & Plugins,Financial Services,Payment Processing Systems,32,22,22,2025-12-01
desktop,840,Aviation Modeling,Aerospace & Defense,Aerospace Parts & Systems,27,13,15,2025-12-01
desktop,840,Live Action Production,Technology,Industrial Manufacturing and Robotics,3,3,3,2025-12-01
desktop,840,Prefabricated Structures Manufacturing,Technology,Marketing and AdTech,2,2,2,2025-12-01
desktop,840,Certification Practice Tests,Technology,Educational Technology,69,48,49,2025-12-01
desktop,840,Scholarship Essay Writing,Technology,Educational Technology,122,93,97,2025-12-01
desktop,840,Stationery Templates,Aerospace & Defense,Space Technology,11,11,11,2025-12-01
